latitude	longitude
37.5208	126.9117
37.5176074	126.9128363
37.4983347	126.8980312
37.4927521	126.8982938
37.4954685	126.905818
37.506392	126.921475
37.498535	126.919437
37.5016177	126.9052679
37.5084555	126.9112884
37.5073003	126.9077425
37.5112667	126.9214285
37.5364739	126.8939535
37.52365	126.888238
37.517086	126.899466
37.509475	126.89595
37.5310483	126.8973273
37.5249643	126.897443
37.5177232	126.934584
37.5203985	126.9106918
37.5146826	126.9093046
37.4535411	126.9032625
37.4702453	126.897041
37.4523912	126.908294
37.459029	126.9061924
37.4403095	126.9057945
37.4495487	126.9148345
37.4535411	126.9032625
37.4675452	126.9022074
37.4751198	126.9032524
37.4631474	126.9034825
37.4702453	126.897041
37.4769094	126.8917326
37.4801833	126.8233756
37.4798417	126.8394389
37.4938	126.8207
37.5009	126.8277
37.497009	126.845201
37.5003318	126.8511255
37.5004631	126.8628603
37.4930433	126.8757585
37.4939422	126.8314627
37.4888016	126.8395371
37.497009	126.845201
37.485993	126.853838
37.4925187	126.8620808
37.5003318	126.8511255
37.5067055	126.8587122
37.5004631	126.8628603
37.4825557	126.8897489
37.5001593	126.8892945
37.4916271	126.8891697
37.4873799	126.8903678
37.491377	126.8834703
37.4930433	126.8757585
37.5077664	126.8805826
37.5435	126.7984
37.5534	126.784
37.5662	126.7872
37.5874	126.8068
37.577333	126.813325
37.5494	126.8207
37.5535	126.8354
37.5738	126.8304
37.5695239	126.8447099
37.544075	126.847725
37.5558155	126.8589287
37.5787386	126.8135628
37.5666997	126.8067549
37.5703659	126.817026
37.5588296	126.8101437
37.5482468	126.8418849
37.5531209	126.8331686
37.561092	126.8605955
37.5673763	126.8512826
37.5695239	126.8447099
37.5326541	126.848335
37.5518173	126.8501301
37.544075	126.847725
37.5346476	126.8609068
37.5425392	126.8384231
37.531817	126.854613
37.530408	126.841562
37.5589789	126.847881
37.542658	126.8625
37.5558155	126.8589287
37.553751	126.8709777
37.532808	126.831487
37.5303777	126.8712323
37.5185289	126.8542636
37.514393	126.8597007
37.5170414	126.8644471
37.5245455	126.8558042
37.5151685	126.8547892
37.5192314	126.870679
37.5185289	126.8542636
37.5219343	126.8346571
37.5180328	126.8451512
37.5386227	126.8271621
37.5246218	126.8401341
37.5336234	126.8291541
37.5249763	126.8444512
37.532808	126.831487
37.5371201	126.8816206
37.532425	126.86835
